State	Population	Violent_crime	Murder_and_nonnegligent_manslaughter	Forcible_rape	Robbery	Aggravated_assault	Property_crime	Burglary	Larceny-theft	Motor_vehicle_theft	Arson	Total_murders	Total_firearms_murder	Handguns_murder	Rifles_murder	Shotguns_murder	Unknown_Firearms_murder	Knives_or_cutting_instruments_murder	Other_weapons_murder	Hands,_fists,_feet_murder	Total_robberies	Firearms_robberies	Knives_or_cutting_instruments_robberies	Other_weapons_robberies	Strong-arm_robberies	Agency_count	Total_aggravated_assaults	Firearms_Agg_Aslts	Knives_or_cutting_instruments_Agg_Aslts	Other_weapons_Agg_Aslts	Personal_weapons_Agg_Aslts	Total_law_enforcement_employees	Male_Enf_emply	Female_Enf_emply	Male_Enf_emply_civil	Female_Enf_emply_civil	Number_of_agencies	Rate_of_Under_Age_Arrests	Student_enrollment	law_enforcement_employees_colleges	Total_officers_colleges	Total_civilians_colleges
NH	1152121	2003	13	369	425	1196	26188	4928	20375	885	292	363	246	216	7	2	21	50	39	28	427	94	50	71	212	150	1220	202	401	328	289	3441	2401	205	255	580	153	0.102	15253	32	17	15
NJ	8439459	26308	366	962	11578	13402	173364	36944	121257	15163	957	118	67	36	6	2	23	29	15	7	11720	3944	964	777	6035	578	13764	2101	3113	4320	4230	39996	28461	2604	3297	5634	545	0.106	193695	849	461	388
NM	1297057	8702	86	705	1401	6537	56611	15038	37402	4171	291	860	517	135	6	12	364	173	148	22	1581	626	229	140	586	88	8578	1669	1474	2779	2656	6030	3957	436	549	1088	109	0.115	57555	102	66	36
NY	13743740	68404	761	2077	26440	39126	284604	47820	220213	16577	746	445	286	188	21	25	52	56	72	31	8770	2540	1004	970	4256	533	16331	2311	5182	4675	4163	83394	53432	8481	7664	13817	466	0.086	149684	1065	640	425
NC	4257811	22299	253	1136	7448	13462	195022	54084	130369	10569	1021	9	4	3	0	1	0	0	4	1	8540	4419	551	769	2801	308	19087	5677	3911	5270	4229	32755	20401	2519	4426	5409	510	0.204	261044	967	553	414
ND	401927	998	5	171	81	741	9138	1322	7263	553	47	460	310	176	7	2	125	40	93	17	89	12	5	10	62	87	1134	21	105	228	780	1840	1205	134	193	308	107	0.124	30011	43	32	11
OH	6712698	30320	409	2841	14933	12137	261111	80737	171421	17437	2850	188	111	86	8	7	10	24	32	21	15644	6479	738	1491	6936	444	14061	3511	2687	4463	3400	27987	17782	1901	3465	4839	607	0.106	374682	728	471	257
OK	2681417	15180	157	1217	3245	10624	110634	31541	70311	8782	654	78	36	20	1	2	13	16	17	9	3293	1503	268	262	1260	302	12194	2347	2016	4416	3415	11667	7073	569	1692	2333	330	0.169	137318	304	223	81
OR	2219522	7067	48	801	1971	4247	82741	12758	63272	6711	768	646	457	367	8	11	71	67	94	28	2237	580	236	213	1208	140	5499	614	1033	1894	1958	10195	5524	606	1746	2319	209	0.180	0	0	0	0
PA	9634610	40791	585	2493	15630	22093	230226	43495	172030	14701	1189	29	16	2	1	1	12	5	6	2	16194	6574	1111	1022	7487	1264	25145	4984	3841	6324	9996	29488	22509	2646	1536	2797	987	0.140	224529	603	436	167
RI	1046239	2655	28	281	777	1569	26214	6039	17886	2289	232	280	207	136	8	7	56	22	34	17	780	198	78	106	398	49	1596	302	426	676	192	3164	2356	182	286	340	48	0.099	24963	106	64	42
SC	1523212	11767	111	566	2677	8413	77791	16046	57208	4537	242	14	8	3	0	1	4	2	4	0	4780	2656	313	388	1423	407	20187	5274	3663	5614	5636	14030	9134	1220	1349	2327	274	0.181	118940	438	290	148
SD	431150	1167	6	254	123	784	11361	2112	8709	540	42	356	219	146	12	11	50	35	83	19	147	18	24	27	78	107	1098	144	378	353	223	2411	1413	98	384	516	142	0.102	12376	18	13	5
TN	3653974	30630	243	1575	7738	21074	171301	43373	117335	10593	762	1246	805	581	34	48	142	202	130	109	8309	4682	598	711	2318	457	27640	8231	6137	10644	2628	25671	14474	1543	4405	5249	453	0.130	188516	581	379	202
TX	18521004	92704	975	6088	28509	57132	783526	177396	550190	55940	4219	52	22	16	0	1	5	7	12	11	32809	16280	2716	2745	11068	1020	71380	15544	15836	25244	14756	89897	48620	6272	15209	19796	1011	0.190	833707	3096	1572	1524
UT	2104995	4880	43	792	1125	2920	71259	11857	54511	4891	215	7	2	1	1	0	0	1	2	2	1262	349	173	132	608	119	3530	603	954	1148	825	6987	4499	371	871	1246	135	0.090	141277	174	92	82
VT	280582	401	0	64	47	290	7012	1182	5661	169	24	369	250	137	9	12	92	47	50	22	54	13	14	7	20	67	439	49	84	72	234	1516	1059	99	119	239	69	0.088	13391	33	21	12
VA	2929753	10660	212	733	3948	5767	101201	16941	78462	5798	650	151	93	73	4	2	14	24	22	12	5651	2955	365	552	1779	354	9472	1872	2189	3011	2400	23390	16199	2181	1368	3642	279	0.107	302872	940	595	345
WA	4056667	15712	100	1736	5044	8832	189202	36178	133161	19863	893	55	27	16	0	4	7	11	9	8	5906	1446	537	583	3340	254	12248	1678	2180	3824	4566	14555	9451	954	1460	2690	259	0.042	114167	164	114	50
WV	255724	985	14	60	178	733	7275	1654	5688	307	59	151	97	63	5	6	23	13	22	19	235	66	32	34	103	127	1712	339	269	402	702	4415	3361	112	360	582	351	0.207	67804	146	121	25
WI	3517403	12255	128	861	4384	6882	112617	19059	86695	6892	491	8	5	0	2	0	3	1	1	1	4453	2344	215	428	1466	342	7962	1764	800	1564	3834	19423	11328	1767	2544	3784	393	0.159	158392	244	160	84
WY	356656	807	6	118	63	620	10982	1537	9056	389	58	50	41	36	1	0	4	4	5	0	76	25	10	8	33	65	847	79	156	263	349	1962	1295	108	125	434	66	0.069	16326	27	16	11
